"","Type","Degree","Betweenness","Closeness"
"169","Sample Seed 2",1,0,2.14681648583316e-06
"170","Sample Seed 2",1,0,2.14681648583316e-06
"171","Sample Seed 2",1,0,2.14681648583316e-06
"172","Sample Seed 2",1,0,2.14681648583316e-06
"173","Sample Seed 2",1,0,2.14681648583316e-06
"174","Sample Seed 2",1,0,2.14681648583316e-06
"175","Sample Seed 2",1,0,2.14681648583316e-06
"176","Sample Seed 2",17,56,2.20491608089396e-06
"177","Sample Seed 2",1,0,2.14681648583316e-06
"178","Sample Seed 2",2,0,2.14681648583316e-06
"179","Sample Seed 2",1,0,2.14681648583316e-06
"180","Sample Seed 2",11,32,2.20488691135032e-06
"181","Sample Seed 2",1,0,2.14681648583316e-06
"182","Sample Seed 2",1,0,2.14681648583316e-06
"183","Sample Seed 2",1,0,2.14681648583316e-06
"184","Sample Seed 2",1,0,2.14681648583316e-06
"185","Sample Seed 2",1,0,2.14681648583316e-06
"186","Sample Seed 2",1,0,2.14681648583316e-06
"187","Sample Seed 2",1,0,2.14681648583316e-06
"188","Sample Seed 2",2,0,2.14681648583316e-06
"189","Sample Seed 2",1,0,2.14681648583316e-06
"190","Sample Seed 2",1,0,2.14681648583316e-06
"191","Sample Seed 2",1,0,2.14681648583316e-06
"192","Sample Seed 2",1,0,2.14681648583316e-06
"193","Sample Seed 2",1,0,2.14681648583316e-06
"194","Sample Seed 2",1,0,2.14681648583316e-06
"195","Sample Seed 2",1,0,2.14681648583316e-06
"196","Sample Seed 2",1,0,2.14681648583316e-06
"197","Sample Seed 2",1,0,2.14681648583316e-06
"198","Sample Seed 2",1,0,2.14681648583316e-06
"199","Sample Seed 2",1,0,2.14681648583316e-06
"200","Sample Seed 2",1,0,2.14681648583316e-06
"201","Sample Seed 2",1,0,2.14681648583316e-06
"202","Sample Seed 2",1,0,2.14681648583316e-06
"203","Sample Seed 2",1,0,2.14681648583316e-06
"204","Sample Seed 2",1,0,2.14681648583316e-06
"205","Sample Seed 2",1,0,2.14681648583316e-06
"206","Sample Seed 2",1,0,2.14681648583316e-06
"207","Sample Seed 2",1,0,2.14681648583316e-06
"208","Sample Seed 2",1,0,2.14681648583316e-06
"209","Sample Seed 2",1,0,2.14681648583316e-06
"210","Sample Seed 2",1,0,2.14681648583316e-06
"211","Sample Seed 2",2,0,2.14681648583316e-06
"212","Sample Seed 2",1,0,2.14681648583316e-06
"213","Sample Seed 2",1,0,2.14681648583316e-06
"214","Sample Seed 2",1,0,2.14681648583316e-06
"215","Sample Seed 2",1,0,2.14681648583316e-06
"216","Sample Seed 2",1,0,2.14681648583316e-06
"217","Sample Seed 2",1,0,2.14681648583316e-06
"218","Sample Seed 2",1,0,2.14681648583316e-06
"219","Sample Seed 2",1,0,2.14681648583316e-06
"220","Sample Seed 2",1,0,2.14681648583316e-06
"221","Sample Seed 2",1,0,2.14681648583316e-06
"222","Sample Seed 2",1,0,2.14681648583316e-06
"223","Sample Seed 2",1,0,2.14681648583316e-06
"224","Sample Seed 2",1,0,2.14681648583316e-06
"225","Sample Seed 2",1,0,2.14681648583316e-06
"226","Sample Seed 2",1,0,2.14681648583316e-06
"227","Sample Seed 2",1,0,2.14681648583316e-06
"228","Sample Seed 2",2,0,2.14681648583316e-06
"229","Sample Seed 2",1,0,2.14681648583316e-06
"230","Sample Seed 2",1,0,2.14681648583316e-06
"231","Sample Seed 2",1,0,2.14681648583316e-06
"232","Sample Seed 2",1,0,2.14681648583316e-06
"233","Sample Seed 2",1,0,2.14681648583316e-06
"234","Sample Seed 2",1,0,2.14681648583316e-06
"235","Sample Seed 2",1,0,2.14681648583316e-06
"236","Sample Seed 2",1,0,2.14681648583316e-06
"237","Sample Seed 2",1,0,2.14681648583316e-06
"238","Sample Seed 2",1,0,2.14681648583316e-06
"239","Sample Seed 2",1,0,2.14681648583316e-06
"240","Sample Seed 2",1,0,2.14681648583316e-06
"241","Sample Seed 2",1,0,2.14681648583316e-06
"242","Sample Seed 2",1,0,2.14681648583316e-06
"243","Sample Seed 2",1,0,2.14681648583316e-06
"244","Sample Seed 2",1,0,2.14681648583316e-06
"245","Sample Seed 2",1,0,2.14681648583316e-06
"246","Sample Seed 2",1,0,2.14681648583316e-06
"247","Sample Seed 2",1,0,2.14681648583316e-06
"248","Sample Seed 2",1,0,2.14681648583316e-06
"249","Sample Seed 2",1,0,2.14681648583316e-06
"250","Sample Seed 2",1,0,2.14681648583316e-06
"251","Sample Seed 2",1,0,2.14681648583316e-06
"252","Sample Seed 2",1,0,2.14681648583316e-06
"253","Sample Seed 2",1,0,2.14681648583316e-06
"254","Sample Seed 2",1,0,2.14681648583316e-06
"255","Sample Seed 2",1,0,2.14681648583316e-06
"256","Sample Seed 2",1,0,2.14681648583316e-06
"257","Sample Seed 2",1,0,2.14681648583316e-06
"258","Sample Seed 2",1,0,2.14681648583316e-06
"259","Sample Seed 2",1,0,2.14681648583316e-06
"260","Sample Seed 2",1,0,2.14681648583316e-06
"261","Sample Seed 2",1,0,2.14681648583316e-06
"262","Sample Seed 2",1,0,2.14681648583316e-06
"263","Sample Seed 2",1,0,2.14681648583316e-06
"264","Sample Seed 2",1,0,2.14681648583316e-06
"265","Sample Seed 2",1,0,2.14681648583316e-06
"266","Sample Seed 2",1,0,2.14681648583316e-06
"267","Sample Seed 2",1,0,2.14681648583316e-06
"268","Sample Seed 2",1,0,2.14681648583316e-06
"269","Sample Seed 2",1,0,2.14681648583316e-06
"270","Sample Seed 2",1,0,2.14681648583316e-06
"271","Sample Seed 2",1,0,2.14681648583316e-06
"272","Sample Seed 2",1,0,2.14681648583316e-06
"273","Sample Seed 2",1,0,2.14681648583316e-06
"274","Sample Seed 2",1,0,2.14681648583316e-06
"275","Sample Seed 2",1,0,2.14681648583316e-06
"276","Sample Seed 2",2,0,2.14681648583316e-06
"277","Sample Seed 2",1,0,2.14681648583316e-06
"278","Sample Seed 2",1,0,2.14681648583316e-06
"279","Sample Seed 2",1,0,2.14681648583316e-06
"280","Sample Seed 2",1,0,2.14681648583316e-06
"281","Sample Seed 2",1,0,2.14681648583316e-06
"282","Sample Seed 2",1,0,2.14681648583316e-06
"283","Sample Seed 2",1,0,2.14681648583316e-06
"284","Sample Seed 2",1,0,2.14681648583316e-06
"285","Sample Seed 2",1,0,2.14681648583316e-06
"286","Sample Seed 2",1,0,2.14681648583316e-06
"287","Sample Seed 2",1,0,2.14681648583316e-06
"288","Sample Seed 2",1,0,2.14681648583316e-06
"289","Sample Seed 2",1,0,2.14681648583316e-06
"290","Sample Seed 2",1,0,2.14681648583316e-06
"291","Sample Seed 2",1,0,2.14681648583316e-06
"292","Sample Seed 2",1,0,2.14681648583316e-06
"293","Sample Seed 2",1,0,2.14681648583316e-06
"294","Sample Seed 2",1,0,2.14681648583316e-06
"295","Sample Seed 2",1,0,2.14681648583316e-06
"296","Sample Seed 2",1,0,2.14681648583316e-06
"297","Sample Seed 2",1,0,2.14681648583316e-06
"298","Sample Seed 2",1,0,2.14681648583316e-06
"299","Sample Seed 2",1,0,2.14681648583316e-06
"300","Sample Seed 2",1,0,2.14681648583316e-06
"301","Sample Seed 2",1,0,2.14681648583316e-06
"302","Sample Seed 2",1,0,2.14681648583316e-06
"303","Sample Seed 2",1,0,2.14681648583316e-06
"304","Sample Seed 2",1,0,2.14681648583316e-06
"305","Sample Seed 2",1,0,2.14681648583316e-06
"306","Sample Seed 2",1,0,2.14681648583316e-06
"307","Sample Seed 2",1,0,2.14681648583316e-06
"308","Sample Seed 2",1,0,2.14681648583316e-06
"309","Sample Seed 2",1,0,2.14681648583316e-06
"310","Sample Seed 2",1,0,2.14681648583316e-06
